uptime=8268.70 [s], total pulses=239, cpm=(0.00, 1.73) [1/min]
uptime=8289.20 [s], total pulses=240, cpm=(0.00, 1.73) [1/min]
uptime=8308.30 [s], total pulses=241, cpm=(0.02, 1.74) [1/min]
uptime=8347.50 [s], total pulses=242, cpm=(0.00, 1.73) [1/min]
uptime=8351.90 [s], total pulses=243, cpm=(0.00, 1.74) [1/min]
uptime=8351.90 [s], total pulses=244, cpm=(0.00, 1.74) [1/min]
uptime=8366.40 [s], total pulses=245, cpm=(0.00, 1.75) [1/min]
uptime=8372.90 [s], total pulses=246, cpm=(0.00, 1.76) [1/min]
uptime=8372.90 [s], total pulses=247, cpm=(0.00, 1.76) [1/min]
uptime=8396.30 [s], total pulses=248, cpm=(0.00, 1.77) [1/min]
uptime=8398.60 [s], total pulses=249, cpm=(0.00, 1.77) [1/min]
uptime=8398.60 [s], total pulses=250, cpm=(0.00, 1.77) [1/min]
uptime=8424.30 [s], total pulses=251, cpm=(0.00, 1.78) [1/min]
uptime=8424.40 [s], total pulses=252, cpm=(0.05, 1.79) [1/min]
uptime=8441.10 [s], total pulses=253, cpm=(0.00, 1.79) [1/min]
uptime=8453.20 [s], total pulses=254, cpm=(0.00, 1.80) [1/min]
uptime=8453.20 [s], total pulses=255, cpm=(0.00, 1.80) [1/min]
uptime=8472.20 [s], total pulses=256, cpm=(0.00, 1.81) [1/min]
uptime=8472.20 [s], total pulses=257, cpm=(0.00, 1.81) [1/min]
uptime=8528.70 [s], total pulses=258, cpm=(0.00, 1.81) [1/min]
uptime=8528.70 [s], total pulses=259, cpm=(0.00, 1.81) [1/min]
uptime=8567.20 [s], total pulses=260, cpm=(0.00, 1.81) [1/min]
uptime=8599.70 [s], total pulses=261, cpm=(0.00, 1.81) [1/min]
uptime=8641.90 [s], total pulses=262, cpm=(0.00, 1.81) [1/min]
uptime=8654.20 [s], total pulses=263, cpm=(0.00, 1.82) [1/min]
uptime=8657.80 [s], total pulses=264, cpm=(0.00, 1.82) [1/min]
uptime=8668.70 [s], total pulses=265, cpm=(0.02, 1.83) [1/min]
uptime=8706.20 [s], total pulses=266, cpm=(0.00, 1.83) [1/min]
uptime=8822.10 [s], total pulses=267, cpm=(0.00, 1.81) [1/min]
uptime=8839.00 [s], total pulses=268, cpm=(0.00, 1.81) [1/min]
uptime=8854.80 [s], total pulses=269, cpm=(0.00, 1.82) [1/min]
uptime=8854.80 [s], total pulses=270, cpm=(0.00, 1.82) [1/min]
uptime=8887.40 [s], total pulses=271, cpm=(0.02, 1.83) [1/min]
uptime=8890.30 [s], total pulses=272, cpm=(0.00, 1.83) [1/min]
uptime=9094.40 [s], total pulses=273, cpm=(0.00, 1.79) [1/min]
uptime=9094.40 [s], total pulses=274, cpm=(0.00, 1.79) [1/min]
uptime=9102.90 [s], total pulses=275, cpm=(0.00, 1.81) [1/min]
uptime=9128.90 [s], total pulses=276, cpm=(0.00, 1.81) [1/min]
uptime=9129.80 [s], total pulses=277, cpm=(1.48, 1.82) [1/min]
uptime=9145.70 [s], total pulses=278, cpm=(0.00, 1.82) [1/min]
uptime=9156.00 [s], total pulses=280, cpm=(0.02, 1.83) [1/min]
uptime=9173.70 [s], total pulses=281, cpm=(0.00, 1.83) [1/min]
uptime=9281.00 [s], total pulses=282, cpm=(0.00, 1.82) [1/min]
uptime=9337.40 [s], total pulses=283, cpm=(0.00, 1.81) [1/min]
uptime=9389.80 [s], total pulses=284, cpm=(0.00, 1.81) [1/min]
uptime=9460.90 [s], total pulses=285, cpm=(0.00, 1.80) [1/min]
uptime=9460.90 [s], total pulses=286, cpm=(0.00, 1.80) [1/min]
uptime=9499.30 [s], total pulses=287, cpm=(0.00, 1.81) [1/min]
uptime=9562.50 [s], total pulses=288, cpm=(0.02, 1.81) [1/min]
uptime=9613.90 [s], total pulses=289, cpm=(0.00, 1.80) [1/min]
uptime=9614.30 [s], total pulses=290, cpm=(0.55, 1.80) [1/min]
uptime=9636.60 [s], total pulses=291, cpm=(0.00, 1.81) [1/min]
uptime=9643.20 [s], total pulses=292, cpm=(0.00, 1.81) [1/min]
uptime=9643.80 [s], total pulses=293, cpm=(0.88, 1.82) [1/min]
uptime=9659.60 [s], total pulses=294, cpm=(0.00, 1.82) [1/min]
uptime=9666.80 [s], total pulses=295, cpm=(0.00, 1.82) [1/min]
uptime=9666.80 [s], total pulses=296, cpm=(0.00, 1.82) [1/min]
uptime=9668.80 [s], total pulses=297, cpm=(0.00, 1.84) [1/min]
uptime=9699.20 [s], total pulses=299, cpm=(0.02, 1.84) [1/min]
uptime=9715.70 [s], total pulses=300, cpm=(0.00, 1.85) [1/min]
uptime=9715.70 [s], total pulses=301, cpm=(0.00, 1.85) [1/min]
uptime=9721.70 [s], total pulses=302, cpm=(0.00, 1.86) [1/min]
uptime=9871.60 [s], total pulses=303, cpm=(0.00, 1.84) [1/min]
uptime=9877.80 [s], total pulses=304, cpm=(0.00, 1.84) [1/min]
uptime=9905.20 [s], total pulses=305, cpm=(0.00, 1.84) [1/min]
uptime=9917.30 [s], total pulses=306, cpm=(0.00, 1.85) [1/min]
uptime=9925.30 [s], total pulses=307, cpm=(0.00, 1.85) [1/min]
uptime=10048.10 [s], total pulses=308, cpm=(0.00, 1.83) [1/min]
uptime=10048.10 [s], total pulses=309, cpm=(0.00, 1.83) [1/min]
uptime=10087.40 [s], total pulses=310, cpm=(0.00, 1.84) [1/min]
uptime=10087.50 [s], total pulses=311, cpm=(0.03, 1.84) [1/min]
uptime=10088.10 [s], total pulses=312, cpm=(1.90, 1.85) [1/min]
uptime=10088.10 [s], total pulses=313, cpm=(1.90, 1.85) [1/min]
uptime=10111.20 [s], total pulses=314, cpm=(0.00, 1.86) [1/min]
uptime=10111.20 [s], total pulses=315, cpm=(0.00, 1.86) [1/min]
uptime=10131.80 [s], total pulses=316, cpm=(0.00, 1.87) [1/min]
uptime=10172.40 [s], total pulses=317, cpm=(0.00, 1.86) [1/min]
uptime=10229.30 [s], total pulses=318, cpm=(0.00, 1.86) [1/min]
uptime=10229.30 [s], total pulses=319, cpm=(0.00, 1.86) [1/min]
uptime=10250.70 [s], total pulses=320, cpm=(0.00, 1.87) [1/min]
uptime=10285.50 [s], total pulses=321, cpm=(0.00, 1.87) [1/min]
uptime=10285.50 [s], total pulses=322, cpm=(0.00, 1.87) [1/min]
