uptime=8263.10 [s], total pulses=190, cpm=(0.00, 1.37) [1/min]
uptime=8263.10 [s], total pulses=191, cpm=(0.00, 1.37) [1/min]
uptime=8263.20 [s], total pulses=192, cpm=(0.18, 1.39) [1/min]
uptime=8263.40 [s], total pulses=193, cpm=(1.05, 1.39) [1/min]
uptime=8337.30 [s], total pulses=194, cpm=(0.00, 1.39) [1/min]
uptime=8347.20 [s], total pulses=195, cpm=(0.00, 1.39) [1/min]
uptime=8370.60 [s], total pulses=196, cpm=(0.00, 1.40) [1/min]
uptime=8405.10 [s], total pulses=197, cpm=(0.00, 1.40) [1/min]
uptime=8567.30 [s], total pulses=198, cpm=(0.00, 1.38) [1/min]
uptime=8624.10 [s], total pulses=199, cpm=(0.00, 1.38) [1/min]
uptime=8691.70 [s], total pulses=200, cpm=(0.00, 1.37) [1/min]
uptime=8691.80 [s], total pulses=201, cpm=(0.05, 1.39) [1/min]
uptime=8741.70 [s], total pulses=202, cpm=(0.00, 1.38) [1/min]
uptime=8764.20 [s], total pulses=203, cpm=(0.00, 1.38) [1/min]
uptime=8803.10 [s], total pulses=204, cpm=(0.00, 1.38) [1/min]
uptime=8805.70 [s], total pulses=205, cpm=(0.00, 1.39) [1/min]
uptime=8805.70 [s], total pulses=206, cpm=(0.00, 1.39) [1/min]
uptime=8892.90 [s], total pulses=207, cpm=(0.00, 1.39) [1/min]
uptime=9004.50 [s], total pulses=208, cpm=(0.00, 1.38) [1/min]
uptime=9036.70 [s], total pulses=209, cpm=(0.00, 1.38) [1/min]
uptime=9036.70 [s], total pulses=210, cpm=(0.00, 1.38) [1/min]
uptime=9042.80 [s], total pulses=211, cpm=(0.00, 1.39) [1/min]
uptime=9155.60 [s], total pulses=212, cpm=(0.00, 1.38) [1/min]
uptime=9401.10 [s], total pulses=213, cpm=(0.00, 1.35) [1/min]
uptime=9409.30 [s], total pulses=214, cpm=(0.00, 1.36) [1/min]
uptime=9439.10 [s], total pulses=215, cpm=(0.00, 1.36) [1/min]
uptime=9439.10 [s], total pulses=216, cpm=(0.00, 1.36) [1/min]
uptime=9486.40 [s], total pulses=217, cpm=(0.00, 1.37) [1/min]
uptime=9486.50 [s], total pulses=218, cpm=(0.05, 1.38) [1/min]
uptime=9517.60 [s], total pulses=219, cpm=(0.00, 1.37) [1/min]
uptime=9608.30 [s], total pulses=220, cpm=(0.00, 1.37) [1/min]
uptime=9608.30 [s], total pulses=221, cpm=(0.00, 1.37) [1/min]
uptime=9621.00 [s], total pulses=222, cpm=(0.00, 1.38) [1/min]
uptime=9653.30 [s], total pulses=223, cpm=(0.00, 1.38) [1/min]
uptime=9673.00 [s], total pulses=224, cpm=(0.00, 1.38) [1/min]
uptime=9764.20 [s], total pulses=225, cpm=(0.00, 1.38) [1/min]
uptime=9764.20 [s], total pulses=226, cpm=(0.00, 1.38) [1/min]
uptime=9774.40 [s], total pulses=227, cpm=(0.00, 1.39) [1/min]
uptime=9783.20 [s], total pulses=228, cpm=(0.00, 1.39) [1/min]
uptime=9793.40 [s], total pulses=229, cpm=(0.00, 1.40) [1/min]
uptime=9826.60 [s], total pulses=230, cpm=(0.00, 1.40) [1/min]
uptime=9826.60 [s], total pulses=231, cpm=(0.00, 1.40) [1/min]
uptime=9865.70 [s], total pulses=232, cpm=(0.00, 1.40) [1/min]
uptime=9873.30 [s], total pulses=233, cpm=(0.00, 1.41) [1/min]
uptime=9891.10 [s], total pulses=234, cpm=(0.00, 1.41) [1/min]
uptime=9891.10 [s], total pulses=235, cpm=(0.00, 1.41) [1/min]
uptime=9923.70 [s], total pulses=236, cpm=(0.00, 1.42) [1/min]
uptime=9923.80 [s], total pulses=237, cpm=(0.05, 1.43) [1/min]
uptime=9952.50 [s], total pulses=238, cpm=(0.00, 1.43) [1/min]
uptime=9961.40 [s], total pulses=239, cpm=(0.00, 1.43) [1/min]
uptime=9961.50 [s], total pulses=240, cpm=(0.05, 1.45) [1/min]
uptime=10039.50 [s], total pulses=241, cpm=(0.02, 1.44) [1/min]
uptime=10059.70 [s], total pulses=242, cpm=(0.00, 1.44) [1/min]
uptime=10258.60 [s], total pulses=243, cpm=(0.00, 1.42) [1/min]
uptime=10258.60 [s], total pulses=244, cpm=(0.00, 1.42) [1/min]
uptime=10341.30 [s], total pulses=245, cpm=(0.00, 1.42) [1/min]
uptime=10429.20 [s], total pulses=246, cpm=(0.00, 1.41) [1/min]
uptime=10430.70 [s], total pulses=247, cpm=(0.02, 1.42) [1/min]
uptime=10454.20 [s], total pulses=248, cpm=(0.02, 1.42) [1/min]
uptime=10457.50 [s], total pulses=249, cpm=(0.00, 1.42) [1/min]
uptime=10534.60 [s], total pulses=250, cpm=(0.00, 1.42) [1/min]
uptime=10860.40 [s], total pulses=251, cpm=(0.00, 1.38) [1/min]
uptime=10874.60 [s], total pulses=252, cpm=(0.00, 1.38) [1/min]
uptime=10874.60 [s], total pulses=253, cpm=(0.00, 1.38) [1/min]
uptime=10903.40 [s], total pulses=254, cpm=(0.00, 1.39) [1/min]
uptime=10924.90 [s], total pulses=255, cpm=(0.00, 1.39) [1/min]
uptime=10924.90 [s], total pulses=256, cpm=(0.00, 1.39) [1/min]
uptime=10935.90 [s], total pulses=257, cpm=(0.00, 1.40) [1/min]
uptime=10940.60 [s], total pulses=258, cpm=(0.02, 1.41) [1/min]
uptime=11027.00 [s], total pulses=259, cpm=(0.00, 1.40) [1/min]
uptime=11091.80 [s], total pulses=261, cpm=(0.02, 1.41) [1/min]
uptime=11103.00 [s], total pulses=262, cpm=(0.00, 1.41) [1/min]
uptime=11113.80 [s], total pulses=263, cpm=(0.00, 1.41) [1/min]
uptime=11126.10 [s], total pulses=264, cpm=(0.02, 1.42) [1/min]
uptime=11128.30 [s], total pulses=265, cpm=(0.00, 1.42) [1/min]
uptime=11136.80 [s], total pulses=266, cpm=(0.00, 1.43) [1/min]
uptime=11273.60 [s], total pulses=267, cpm=(0.00, 1.42) [1/min]
uptime=11313.60 [s], total pulses=268, cpm=(0.00, 1.42) [1/min]
uptime=11459.50 [s], total pulses=269, cpm=(0.00, 1.40) [1/min]
uptime=11475.80 [s], total pulses=270, cpm=(0.00, 1.41) [1/min]
uptime=11514.20 [s], total pulses=271, cpm=(0.00, 1.41) [1/min]
uptime=11578.10 [s], total pulses=272, cpm=(0.00, 1.40) [1/min]
uptime=11652.50 [s], total pulses=273, cpm=(0.00, 1.40) [1/min]
uptime=11678.30 [s], total pulses=274, cpm=(0.00, 1.40) [1/min]
uptime=11742.90 [s], total pulses=275, cpm=(0.00, 1.40) [1/min]
uptime=11743.00 [s], total pulses=276, cpm=(0.05, 1.41) [1/min]
uptime=11836.40 [s], total pulses=277, cpm=(0.00, 1.40) [1/min]
